order_id,user_id,restaurant_id,restaurant_name,driver_id,order_time,order_date,order_hour,is_weekend,is_ramadan_period,city,area,cuisine,item_name,quantity,unit_price_aed,delivery_fee_aed,total_price_aed,payment_method,delivery_distance_km,traffic_level,driver_vehicle,driver_availability,delivery_duration_mins,order_status,user_subscription,restaurant_health_score,order_quality_risk_score,churn_risk
ORD00386305,USR023368,RST00598,Fattoush Kitchen Marina,DRV00490,2024-02-29 12:45:00,2024-02-29,12,0,0,Dubai,Marina,Lebanese,Mezze Platter,1,181.42,5,186.42,In-App Wallet,11.81,Medium,Motorcycle,Available,49.9,Delivered,0,0.287,0.477,0
ORD00224191,USR009010,RST00496,Adobo House Deira,DRV00479,2024-04-29 19:06:00,2024-04-29,19,0,0,Dubai,Deira,Filipino,Lechon Kawali,1,37.84,5,42.84,Credit Card,11.0,High,Motorcycle,Available,59.7,Delivered,1,0.858,0.423,0
ORD00337193,USR017091,RST00931,Green Valley Pakistani Al Shamkha,DRV01889,2024-09-15 16:37:00,2024-09-15,16,0,0,Abu Dhabi,Al Shamkha,Pakistani,Paya Soup,1,22.06,5,27.06,Credit Card,5.05,High,Motorcycle,Available,28.6,Delivered,0,0.921,0.368,0
ORD00020293,USR023598,RST01240,Suhoor Lounge Discovery Gardens,DRV02766,2024-03-31 23:09:00,2024-03-31,23,0,1,Dubai,Discovery Gardens,Arabic,Mixed Grill,2,36.96,0,73.92,Apple Pay,3.51,Medium,Motorcycle,Busy,26.9,Delivered,0,0.595,0.437,0
ORD00734781,USR026929,RST00229,Bombay Kitchen Al Nahda Dubai,DRV02256,2024-06-22 14:29:00,2024-06-22,14,1,0,Dubai,Al Nahda Dubai,Indian,Lamb Rogan Josh,2,44.95,5,94.9,Apple Pay,9.85,Medium,Bicycle,Available,80.1,Delivered,1,0.609,0.419,0
ORD00249320,USR005133,RST00895,Shake Shack Express Al Nahda,DRV00532,2024-07-02 13:07:00,2024-07-02,13,0,0,Sharjah,Al Nahda,American,Chocolate Milkshake,1,34.41,7,41.41,In-App Wallet,3.77,High,Motorcycle,Busy,25.2,Delivered,1,0.667,0.439,0
ORD00021450,USR013824,RST00423,Shawarma Station Al Nahda,DRV02580,2024-12-05 13:58:00,2024-12-05,13,0,0,Sharjah,Al Nahda,Arabic,Chicken Shawarma,4,33.81,7,142.24,Apple Pay,5.25,High,Bicycle,Unavailable,57.6,Delivered,1,0.441,0.542,0
ORD00245052,USR024451,RST01615,Tawlet Motor City,DRV00857,2024-07-21 22:48:00,2024-07-21,22,0,0,Dubai,Motor City,Lebanese,Mezze Platter,2,62.81,5,130.62,Apple Pay,1.48,High,Motorcycle,Available,22.3,Delivered,1,0.829,0.298,0
ORD00189584,USR007709,RST00640,Tandoor House Downtown,DRV00985,2024-05-30 18:41:00,2024-05-30,18,0,0,Dubai,Downtown,Indian,Gulab Jamun,4,93.61,3,377.44,In-App Wallet,14.65,Low,Motorcycle,Available,56.1,Delivered,0,0.69,0.308,0
ORD00208303,USR023923,RST00821,Spice Route Muhaisnah,DRV01786,2024-08-10 15:19:00,2024-08-10,15,1,0,Dubai,Muhaisnah,Indian,Butter Chicken,1,37.32,5,42.32,Credit Card,7.59,Medium,Motorcycle,Busy,42.2,Delivered,1,0.819,0.346,0
ORD00574820,USR015889,RST00180,Il Pomodoro Jumeirah,DRV00724,2024-02-23 11:16:00,2024-02-23,11,1,0,Dubai,Jumeirah,Italian,Penne Arrabbiata,3,64.22,5,197.66,Credit Card,9.36,High,Motorcycle,Available,52.6,Delivered,0,0.529,0.552,0
ORD00227809,USR005782,RST01134,Lucky Wok Jumeirah Village Circle,DRV01270,2024-03-21 14:12:00,2024-03-21,14,0,1,Dubai,Jumeirah Village Circle,Chinese,Spring Rolls (4pcs),2,46.17,3,95.34,Apple Pay,9.68,Low,Motorcycle,Available,42.6,Delivered,1,0.447,0.297,1
ORD00749606,USR025772,RST00697,Desi Zaika Muwaileh,DRV00132,2024-06-25 11:16:00,2024-06-25,11,0,0,Sharjah,Muwaileh,Pakistani,Mutton Biryani,1,31.59,3,34.59,Credit Card,5.6,High,Motorcycle,Busy,35.9,Cancelled,0,0.338,0.495,0
ORD00749598,USR016700,RST01364,Khaleeji Bites Al Barsha,DRV01101,2024-08-31 08:41:00,2024-08-31,8,1,0,Dubai,Al Barsha,Arabic,Dates & Karak,1,83.49,3,86.49,Credit Card,6.91,High,Motorcycle,Available,49.2,In Transit,1,0.811,0.421,0
ORD00445481,USR022233,RST00743,Peking House Downtown,DRV01489,2024-09-28 20:17:00,2024-09-28,20,1,0,Dubai,Downtown,Chinese,Fried Rice Special,2,140.09,7,287.18,In-App Wallet,10.78,Very High,Motorcycle,Busy,63.1,Delivered,0,0.626,0.599,0
ORD00555188,USR011400,RST00416,Spice Route Oud Metha,DRV02266,2024-12-02 20:59:00,2024-12-02,20,0,0,Dubai,Oud Metha,Indian,Palak Paneer,2,53.2,0,106.4,Credit Card,2.07,High,Motorcycle,Busy,25.3,Delivered,0,0.457,0.537,0
ORD00346090,USR003799,RST00565,Punjab Grill JLT,DRV02178,2024-01-28 22:02:00,2024-01-28,22,0,0,Dubai,JLT,Indian,Butter Chicken,2,66.13,0,132.26,Credit Card,1.14,Low,Motorcycle,Available,16.6,Delivered,1,0.281,0.337,0
ORD00187481,USR004189,RST01258,Pinoy Kitchen Sports City,DRV01999,2024-05-21 17:03:00,2024-05-21,17,0,0,Dubai,Sports City,Filipino,Lechon Kawali,1,42.03,3,45.03,Debit Card,10.2,Low,Motorcycle,Available,35.6,Delivered,0,0.436,0.316,0
ORD00253387,USR014780,RST00359,Smash & Stack Al Nahda,DRV01605,2024-02-24 11:06:00,2024-02-24,11,1,0,Sharjah,Al Nahda,American,Classic Smash Burger,4,22.12,0,88.48,Credit Card,9.61,Medium,Motorcycle,Available,36.6,Delivered,0,0.523,0.425,0
ORD00164909,USR016938,RST01883,Spice Route Marina,DRV01312,2024-01-01 18:18:00,2024-01-01,18,0,0,Dubai,Marina,Indian,Samosa (2pcs),3,196.31,3,591.93,Debit Card,5.88,High,Motorcycle,Unavailable,32.5,Delivered,0,0.741,0.46,0
ORD00437321,USR013304,RST00939,El Rancho Mexican Palm Jumeirah,DRV00136,2024-05-23 17:06:00,2024-05-23,17,0,0,Dubai,Palm Jumeirah,Mexican,Beef Tacos (3pcs),1,92.33,0,92.33,Apple Pay,4.58,Medium,Motorcycle,Available,34.3,Delivered,1,0.749,0.4,1
ORD00230777,USR014876,RST01608,Maharaja Palace Karama,DRV00544,2024-04-27 07:34:00,2024-04-27,7,1,0,Dubai,Karama,Indian,Butter Chicken,1,32.04,3,35.04,Apple Pay,1.08,Medium,Motorcycle,Available,24.1,Delivered,0,0.577,0.543,0
ORD00123461,USR017102,RST00108,Sawadee Kitchen Al Nahda,DRV02555,2024-12-16 09:58:00,2024-12-16,9,0,0,Sharjah,Al Nahda,Thai,Mango Sticky Rice,2,33.43,0,66.86,In-App Wallet,7.63,Medium,Motorcycle,Available,35.1,Delivered,1,0.942,0.235,0
ORD00433047,USR013329,RST00005,Islamabad Grill Al Nahda,DRV02405,2024-01-02 11:07:00,2024-01-02,11,0,0,Sharjah,Al Nahda,Pakistani,Seekh Kebab,2,37.5,5,80.0,Apple Pay,9.23,Low,Motorcycle,Available,35.9,Delivered,0,0.224,0.355,0
ORD00652968,USR020421,RST00916,Bombay Kitchen Al Taawun,DRV02066,2024-06-22 20:35:00,2024-06-22,20,1,0,Sharjah,Al Taawun,Indian,Chicken Biryani,1,28.03,0,28.03,Debit Card,8.52,Medium,Motorcycle,Available,40.0,Delivered,1,0.851,0.246,0
ORD00217788,USR000222,RST00949,Pampanga Kitchen Jumeirah,DRV01322,2024-06-14 18:02:00,2024-06-14,18,1,0,Dubai,Jumeirah,Filipino,Chicken Adobo,4,55.13,0,220.52,In-App Wallet,11.27,Medium,Motorcycle,Available,40.4,Cancelled,1,0.586,0.311,1
ORD00584206,USR027314,RST01228,Lutong Bahay Al Nahda,DRV01756,2024-01-13 05:53:00,2024-01-13,5,1,0,Sharjah,Al Nahda,Filipino,Pancit Canton,1,20.75,3,23.75,Credit Card,7.45,Low,Motorcycle,Available,26.3,Delivered,1,0.841,0.216,0
ORD00223214,USR020171,RST01353,Golden Dragon Bur Dubai,DRV02536,2024-01-08 14:21:00,2024-01-08,14,0,0,Dubai,Bur Dubai,Chinese,Mapo Tofu,1,24.71,7,31.71,In-App Wallet,5.85,Low,Motorcycle,Available,24.7,Delivered,0,0.824,0.239,0
ORD00512970,USR015298,RST01205,Arabian Nights Kitchen Marina,DRV01736,2024-10-17 23:24:00,2024-10-17,23,0,0,Dubai,Marina,Arabic,Machboos,1,178.13,0,178.13,Credit Card,3.66,Medium,Motorcycle,Available,26.8,Delivered,0,0.828,0.204,0
ORD00176933,USR027091,RST00243,Khaleeji Bites International City,DRV00372,2024-10-22 18:47:00,2024-10-22,18,0,0,Dubai,International City,Arabic,Falafel Wrap,2,47.52,7,102.04,Apple Pay,3.75,High,Bicycle,Busy,49.1,Delivered,0,0.59,0.475,0
ORD00676723,USR013220,RST00897,Spice Route Karama,DRV00294,2024-01-10 20:52:00,2024-01-10,20,0,0,Dubai,Karama,Indian,Chicken Tikka Masala,2,43.21,5,91.42,Apple Pay,5.53,Low,Motorcycle,Busy,25.4,Delivered,0,0.883,0.204,0
ORD00391373,USR029916,RST01523,Shawarma Station Palm Jumeirah,DRV02849,2024-09-19 16:12:00,2024-09-19,16,0,0,Dubai,Palm Jumeirah,Arabic,Machboos,1,239.35,5,244.35,Credit Card,2.52,High,Motorcycle,Busy,17.8,Delivered,1,0.514,0.403,0
ORD00228781,USR013378,RST01728,Beirut Express Dubai South,DRV02062,2024-05-02 23:48:00,2024-05-02,23,0,0,Dubai,Dubai South,Lebanese,Mezze Platter,2,29.21,5,63.42,Debit Card,5.61,Low,Motorcycle,Available,34.4,Delivered,1,0.564,0.409,0
ORD00414295,USR010806,RST00156,Bollywood Bites Al Raha Beach,DRV00380,2024-10-28 15:29:00,2024-10-28,15,0,0,Abu Dhabi,Al Raha Beach,Indian,Gulab Jamun,4,111.8,0,447.2,Debit Card,6.6,Medium,Bicycle,Available,62.9,Cancelled,0,0.973,0.323,0
ORD00390752,USR014040,RST01404,Tokyo Kitchen Oud Metha,DRV02748,2024-12-10 08:13:00,2024-12-10,8,0,0,Dubai,Oud Metha,Japanese,Beef Gyoza (6pcs),2,87.24,3,177.48,Credit Card,12.4,High,Motorcycle,Available,63.1,Delivered,1,0.498,0.519,0
ORD00614759,USR017857,RST00900,Al Dawaar Grill Al Barsha,DRV02202,2024-11-05 19:25:00,2024-11-05,19,0,0,Dubai,Al Barsha,Arabic,Dates & Karak,2,92.21,5,189.42,Credit Card,8.25,Medium,Motorcycle,Available,43.8,Delivered,1,0.914,0.319,0
ORD00719032,USR014008,RST01965,Al Hamra Pakistani Al Rashidiya,DRV00673,2024-11-13 09:11:00,2024-11-13,9,0,0,Ajman,Al Rashidiya,Pakistani,Chapli Kebab,1,37.33,5,42.33,Credit Card,1.17,Medium,Motorcycle,Busy,18.1,Delivered,1,0.803,0.262,0
ORD00501181,USR013407,RST01220,Pampanga Kitchen Al Barsha,DRV01137,2024-06-23 12:00:00,2024-06-23,12,0,0,Dubai,Al Barsha,Filipino,Pancit Canton,2,73.58,0,147.16,Credit Card,2.7,Low,Motorcycle,Busy,21.6,Delivered,1,0.825,0.259,0
ORD00658417,USR021549,RST00013,Karachi Darbar Khalifa City,DRV00333,2024-02-22 13:12:00,2024-02-22,13,0,0,Abu Dhabi,Khalifa City,Pakistani,Paya Soup,3,51.58,7,161.74,Apple Pay,14.01,Low,Motorcycle,Available,48.5,Delivered,1,0.603,0.266,1
ORD00111692,USR027781,RST00758,Lutong Bahay Business Bay,DRV00914,2024-01-05 08:02:00,2024-01-05,8,1,0,Dubai,Business Bay,Filipino,Pancit Canton,1,64.57,0,64.57,Debit Card,3.44,High,Motorcycle,Available,25.4,Delivered,1,0.877,0.307,0
ORD00590455,USR023689,RST00412,Nihari House JLT,DRV02849,2024-05-07 15:34:00,2024-05-07,15,0,0,Dubai,JLT,Pakistani,Sheer Khurma,1,68.63,3,71.63,Credit Card,8.27,High,Motorcycle,Available,50.1,Delivered,0,0.514,0.456,1
ORD00017566,USR018721,RST01814,Delhi Darbar Al Taawun,DRV01613,2024-05-02 12:00:00,2024-05-02,12,0,0,Sharjah,Al Taawun,Indian,Palak Paneer,1,33.3,5,38.3,Debit Card,7.81,Medium,Motorcycle,Available,38.6,Delivered,0,0.367,0.462,0
ORD00724712,USR009126,RST01409,Arabian Nights Kitchen Oud Metha,DRV00121,2024-10-17 10:49:00,2024-10-17,10,0,0,Dubai,Oud Metha,Arabic,Lamb Mandi,1,60.68,3,63.68,Credit Card,4.03,Low,Motorcycle,Available,22.1,Delivered,1,0.857,0.186,0
ORD00255511,USR016845,RST00075,Mumbai Street Food Marina,DRV02121,2024-05-09 19:06:00,2024-05-09,19,0,0,Dubai,Marina,Indian,Garlic Naan,2,184.69,0,369.38,Apple Pay,14.3,Low,Motorcycle,Available,42.6,Delivered,0,0.945,0.202,0
ORD00280796,USR024362,RST01103,Namaste Kitchen Creek Harbour,DRV01582,2024-03-26 08:07:00,2024-03-26,8,0,1,Dubai,Creek Harbour,Indian,Chicken Tikka Masala,3,181.79,0,545.37,Apple Pay,11.18,Low,Motorcycle,Unavailable,40.7,Delivered,1,0.746,0.239,1
ORD00677717,USR023784,RST00848,Edo Japanese Al Taawun,DRV01663,2024-12-21 09:17:00,2024-12-21,9,1,0,Sharjah,Al Taawun,Japanese,Chicken Katsu Curry,2,46.14,3,95.28,Credit Card,13.23,Medium,Motorcycle,Busy,48.3,Delivered,0,0.866,0.247,0
ORD00320555,USR005694,RST00590,BBQ Smokehouse Dubai Hills,DRV02570,2024-08-24 17:24:00,2024-08-24,17,1,0,Dubai,Dubai Hills,American,Onion Rings,2,104.5,5,214.0,Apple Pay,7.25,Low,Bicycle,Busy,57.9,Delivered,0,0.515,0.468,0
ORD00457929,USR023574,RST01458,Tagalog Tastes Jumeirah Village Triangle,DRV01157,2024-01-21 14:36:00,2024-01-21,14,0,0,Dubai,Jumeirah Village Triangle,Filipino,Sinigang na Baboy,1,69.96,3,72.96,Apple Pay,0.9,Medium,Motorcycle,Busy,21.5,Delivered,1,0.76,0.372,0
ORD00327829,USR009178,RST01361,Spice Route Marina,DRV02542,2024-12-07 14:01:00,2024-12-07,14,1,0,Dubai,Marina,Indian,Chicken Biryani,1,168.53,0,168.53,Apple Pay,1.35,Medium,Motorcycle,Available,22.3,Delivered,1,0.782,0.281,0
ORD00103412,USR010968,RST00569,Curry Leaf Al Taawun,DRV02396,2024-09-23 19:03:00,2024-09-23,19,0,0,Sharjah,Al Taawun,Indian,Gulab Jamun,2,39.07,5,83.14,Credit Card,14.56,Low,Motorcycle,Unavailable,49.4,Delivered,0,0.504,0.341,0
ORD00262172,USR021179,RST01857,Namaste Kitchen International City,DRV01001,2024-10-04 23:41:00,2024-10-04,23,1,0,Dubai,International City,Indian,Gulab Jamun,1,35.85,0,35.85,In-App Wallet,7.71,Low,Bicycle,Busy,50.2,Delivered,1,0.6,0.303,0
ORD00598603,USR014771,RST01351,BBQ Smokehouse Al Barsha,DRV00860,2024-07-22 18:15:00,2024-07-22,18,0,0,Dubai,Al Barsha,American,Loaded Fries,2,58.2,0,116.4,In-App Wallet,1.66,High,Motorcycle,Busy,17.3,Delivered,1,0.52,0.389,0
ORD00145653,USR023164,RST01208,Saffron Table Jumeirah Village Triangle,DRV01768,2024-05-23 21:36:00,2024-05-23,21,0,0,Dubai,Jumeirah Village Triangle,Indian,Garlic Naan,2,81.85,0,163.7,Apple Pay,9.14,Medium,Motorcycle,Busy,46.1,Delivered,0,0.828,0.42,0
ORD00335366,USR005616,RST00890,Mezze House Al Furjan,DRV01631,2024-02-09 18:23:00,2024-02-09,18,1,0,Dubai,Al Furjan,Lebanese,Chicken Tawook,1,65.31,3,68.31,Credit Card,1.19,High,Bicycle,Busy,27.4,Delivered,1,0.782,0.372,1
ORD00562337,USR004237,RST00308,Karachi Darbar Downtown,DRV01293,2024-10-23 20:16:00,2024-10-23,20,0,0,Dubai,Downtown,Pakistani,Nihari,1,133.89,7,140.89,Apple Pay,4.35,Very High,Motorcycle,Available,36.6,Delivered,1,0.635,0.518,0
ORD00064048,USR007531,RST00317,Tagalog Tastes Shahama,DRV00918,2024-08-05 20:38:00,2024-08-05,20,0,0,Abu Dhabi,Shahama,Filipino,Kare Kare,2,31.32,0,62.64,Credit Card,14.77,Medium,Motorcycle,Unavailable,60.6,Delivered,1,0.651,0.34,1
ORD00674438,USR028506,RST01306,Lucky Wok Bur Dubai,DRV02866,2024-07-11 11:40:00,2024-07-11,11,0,0,Dubai,Bur Dubai,Chinese,Steamed Dumplings,1,34.43,7,41.43,Apple Pay,1.01,Low,Motorcycle,Busy,14.0,Delivered,1,0.742,0.231,0
ORD00288227,USR002117,RST01289,Nashville Hot Silicon Oasis,DRV00716,2024-11-19 14:17:00,2024-11-19,14,0,0,Dubai,Silicon Oasis,American,Beef Hot Dog,1,23.87,0,23.87,Credit Card,12.65,Medium,Motorcycle,Available,53.9,Delivered,1,0.846,0.274,0
ORD00569522,USR006989,RST01975,Nihari House Muwaileh,DRV01682,2024-07-09 20:50:00,2024-07-09,20,0,0,Sharjah,Muwaileh,Pakistani,Chapli Kebab,2,29.2,3,61.4,Credit Card,1.68,Very High,Motorcycle,Busy,29.3,Cancelled,1,0.921,0.614,0
ORD00360172,USR023114,RST00025,Burrito Bandido Al Barsha,DRV02337,2024-08-30 12:36:00,2024-08-30,12,1,0,Dubai,Al Barsha,Mexican,Chicken Burrito,2,64.86,3,132.72,Apple Pay,8.79,Medium,Motorcycle,Available,30.1,Delivered,0,0.812,0.271,0
ORD00691698,USR013330,RST01815,Namaste Kitchen Al Karamah,DRV00432,2024-04-06 02:52:00,2024-04-06,2,1,1,Abu Dhabi,Al Karamah,Indian,Mango Lassi,1,58.86,7,65.86,In-App Wallet,2.1,Medium,Bicycle,Available,23.3,Delivered,1,0.903,0.298,0
ORD00142781,USR008782,RST01679,Green Valley Pakistani Deira,DRV00531,2024-05-17 10:12:00,2024-05-17,10,1,0,Dubai,Deira,Pakistani,Aloo Gosht,1,29.76,5,34.76,Credit Card,5.46,Very High,Bicycle,Busy,69.5,Delivered,1,0.595,0.661,0
ORD00206282,USR010968,RST00481,Fattoush Kitchen Al Barsha,DRV01086,2024-10-03 05:54:00,2024-10-03,5,0,0,Dubai,Al Barsha,Lebanese,Manakeesh Zaatar,3,69.19,7,214.57,Credit Card,12.3,Low,Motorcycle,Busy,48.3,Delivered,0,0.747,0.285,0
ORD00007614,USR001899,RST01528,Golden Curry Oud Metha,DRV00073,2024-04-26 20:43:00,2024-04-26,20,1,0,Dubai,Oud Metha,Indian,Chicken Biryani,1,74.44,0,74.44,Apple Pay,4.04,Medium,Motorcycle,Available,27.7,Delivered,0,0.851,0.273,1
ORD00273037,USR024259,RST00133,Dumpling Republic Oud Metha,DRV02008,2024-06-19 11:09:00,2024-06-19,11,0,0,Dubai,Oud Metha,Chinese,Spring Rolls (4pcs),3,49.37,3,151.11,Apple Pay,4.82,High,Motorcycle,Available,32.8,Delivered,1,0.568,0.366,0
ORD00239835,USR002048,RST01808,Dumpling Republic Downtown,DRV00802,2024-03-06 19:04:00,2024-03-06,19,0,0,Dubai,Downtown,Chinese,Mapo Tofu,3,167.28,0,501.84,Credit Card,4.97,Medium,Motorcycle,Available,32.3,Delivered,1,0.805,0.394,0
ORD00555615,USR022902,RST00193,Pizza Express Dubai Business Bay,DRV00087,2024-02-24 09:41:00,2024-02-24,9,1,0,Dubai,Business Bay,Italian,Caprese Salad,2,67.86,3,138.72,Credit Card,7.58,High,Bicycle,Available,73.5,Delivered,1,0.694,0.481,0
ORD00342493,USR020372,RST00818,Suhoor Lounge Al Khalidiyah,DRV02548,2024-09-21 14:42:00,2024-09-21,14,1,0,Abu Dhabi,Al Khalidiyah,Arabic,Mixed Grill,1,72.59,7,79.59,In-App Wallet,14.88,Medium,Motorcycle,Busy,55.8,Delivered,0,0.507,0.293,0
ORD00194636,USR001201,RST00028,Bangkok Bites Al Reef,DRV01209,2024-09-26 10:47:00,2024-09-26,10,0,0,Abu Dhabi,Al Reef,Thai,Tom Yum Soup,2,30.88,3,64.76,In-App Wallet,2.92,Medium,Motorcycle,Unavailable,22.2,Delivered,1,0.448,0.473,0
ORD00022740,USR004521,RST01313,Il Pomodoro Al Taawun,DRV00703,2024-01-31 18:52:00,2024-01-31,18,0,0,Sharjah,Al Taawun,Italian,Caprese Salad,2,53.79,5,112.58,Credit Card,10.31,Very High,Motorcycle,Available,64.3,Delivered,1,0.838,0.546,0
ORD00271019,USR003263,RST01296,Edo Japanese Jumeirah Village Circle,DRV01692,2024-02-14 17:32:00,2024-02-14,17,0,0,Dubai,Jumeirah Village Circle,Japanese,Matcha Ice Cream,2,97.43,3,197.86,Apple Pay,7.68,High,Motorcycle,Available,41.8,Delivered,1,0.465,0.531,0
ORD00607690,USR028791,RST01176,Pinoy Kitchen Al Barsha,DRV00295,2024-01-10 20:04:00,2024-01-10,20,0,0,Dubai,Al Barsha,Filipino,Longganisa Rice,1,59.6,3,62.6,Apple Pay,6.96,Low,Motorcycle,Busy,25.7,Delivered,1,0.439,0.259,0
ORD00592599,USR017181,RST00381,Nonna Rosa Deira,DRV00053,2024-03-26 16:59:00,2024-03-26,16,0,1,Dubai,Deira,Italian,Cannoli Siciliani,4,29.07,3,119.28,Apple Pay,9.86,Medium,Motorcycle,Busy,44.7,Cancelled,0,0.848,0.378,0
ORD00073137,USR017901,RST01020,Vesuvio Kitchen Business Bay,DRV00683,2024-08-12 20:07:00,2024-08-12,20,0,0,Dubai,Business Bay,Italian,Penne Arrabbiata,1,81.0,5,86.0,Credit Card,8.26,Low,Motorcycle,Available,26.9,Delivered,1,0.515,0.265,0
ORD00573158,USR012370,RST00761,Trattoria Roma Jumeirah Village Circle,DRV01946,2024-12-02 19:52:00,2024-12-02,19,0,0,Dubai,Jumeirah Village Circle,Italian,Risotto ai Funghi,2,99.07,7,205.14,Debit Card,5.71,Low,Motorcycle,Available,28.5,Delivered,1,0.675,0.243,0
ORD00598903,USR022728,RST01453,Arabian Nights Kitchen Al Rashidiya,DRV00758,2024-12-04 06:24:00,2024-12-04,6,0,0,Ajman,Al Rashidiya,Arabic,Mixed Grill,1,43.78,5,48.78,Credit Card,9.2,Low,Motorcycle,Available,35.9,In Transit,0,0.833,0.304,0
ORD00692954,USR026730,RST00804,Cedar Tree Deira,DRV02938,2024-11-13 18:11:00,2024-11-13,18,0,0,Dubai,Deira,Lebanese,Warak Dawali,1,27.14,7,34.14,Apple Pay,3.43,Medium,Bicycle,Unavailable,39.6,Delivered,1,0.92,0.319,0
ORD00650793,USR018448,RST01896,Nihari House DIFC,DRV00648,2024-09-10 12:55:00,2024-09-10,12,0,0,Dubai,DIFC,Pakistani,Karahi Chicken,2,92.84,0,185.68,Apple Pay,9.0,High,Motorcycle,Available,39.7,Delivered,1,0.779,0.392,0
ORD00146657,USR018892,RST01397,Leila Restaurant Al Reef,DRV02276,2024-02-01 00:05:00,2024-02-01,0,0,0,Abu Dhabi,Al Reef,Lebanese,Mezze Platter,1,27.8,7,34.8,Credit Card,10.31,Low,Motorcycle,Available,47.0,Delivered,0,0.805,0.275,1
ORD00416293,USR019660,RST00799,Golden Curry Al Reem Island,DRV00749,2024-02-01 06:38:00,2024-02-01,6,0,0,Abu Dhabi,Al Reem Island,Indian,Gulab Jamun,1,59.89,5,64.89,Credit Card,7.23,Medium,Motorcycle,Available,36.2,Cancelled,0,0.484,0.392,0
ORD00499959,USR024472,RST01533,Mumbai Street Food Yas Island,DRV00356,2024-05-21 00:12:00,2024-05-21,0,0,0,Abu Dhabi,Yas Island,Indian,Chicken Tikka Masala,1,122.0,0,122.0,Apple Pay,9.14,High,Motorcycle,Busy,48.4,Delivered,1,0.69,0.426,1
ORD00382423,USR026603,RST01023,Thai Orchid Discovery Gardens,DRV01237,2024-03-28 10:42:00,2024-03-28,10,0,1,Dubai,Discovery Gardens,Thai,Thai Basil Fried Rice,2,22.28,5,49.56,Credit Card,6.95,High,Motorcycle,Available,36.0,Delivered,0,0.48,0.491,0
